Timestamp,Distance_cm,Speed_kmh,Angle_deg,Magnitude,x_cm,y_cm
1751955500.9501204,90.0,0.55,23.89,7106.0,-36.44838118735481,82.28921866697532
1751955501.1738808,96.0,0.68,15.41,6553.0,-25.50954046390809,92.54870796137695
1751955501.4138536,96.0,0.0,-2.63,6626.0,4.405059998812294,95.8988813616033
1751955501.6378572,96.0,-0.45,-7.56,7636.0,12.630178472859122,95.16553258267263
1751955501.8613656,90.0,-0.53,-11.17,5849.0,17.434862792996288,88.29510495712316
1751955502.1018476,89.0,-0.19,-3.26,6099.0,5.061166463681479,88.85597669277462
1751955502.3260148,89.0,-0.04,20.05,6487.0,-30.512764405450888,83.60604767800861
1751955502.5494583,91.0,-0.1,7.56,7259.0,-11.972356677397707,90.2089944273251
1751955502.789498,96.0,-0.09,13.0,7124.0,-21.59530121701104,93.53952621938258
1751955503.0134556,100.0,0.04,-3.55,6589.0,6.191955310930175,99.80811434661734
1751955503.2379088,108.0,0.43,-36.38,6778.0,64.05889206798791,86.95089618297143
1751955503.462825,109.0,0.18,-13.4,6864.0,25.260521480863147,106.03257072482423
1751955503.7022007,109.0,0.04,0.8,6864.0,-1.5218776569668346,108.98937511701416
1751955503.9270666,112.0,-0.09,11.74,6272.0,-22.78873770534903,109.65707197347923
1751955504.1660924,116.0,-0.21,-11.4,6194.0,22.928251483978634,113.71145625611973
1751955504.3898246,117.0,-0.31,-34.43,6022.0,66.15167766224606,96.50365559122771
1751955504.613209,110.0,-0.5,-27.84,6493.0,51.37044887203409,97.26806764136795
1751955504.8534894,108.0,-0.32,-22.8,7069.0,41.85168333682712,99.56122037155805
1751955505.0776417,111.0,0.02,-10.08,6949.0,19.42755954625564,109.28664113274179
1751955505.301585,113.0,0.21,-1.31,6979.0,2.5833857988091147,112.97046568822539
1751955505.5248957,110.0,0.33,-2.69,5895.0,5.162532190334892,109.87878895120639
1751955505.7660432,107.0,0.21,14.66,5637.0,-27.079838469534877,103.51658006553298
1751955505.9897974,107.0,0.0,8.13,6456.0,-15.13189589186664,105.92462285379028
1751955506.2134817,103.0,-0.26,-0.17,6950.0,0.30560670362519193,102.99954662299587
1751955506.4533162,99.0,-0.41,5.67,6440.0,-9.781073901207677,98.51563628855632
1751955506.6776867,96.0,-0.46,14.2,6107.0,-23.549509044365045,93.06675358993333
1751955506.7889922,92.0,-0.58,24.35,6194.0,-37.93247871138025,83.81603103709149
1751955507.0295541,91.0,-0.55,18.9,5899.0,-29.47648505603159,86.09376765330663
1751955507.2536325,87.0,-0.59,37.29,5543.0,-52.70891126091428,69.2153933290064
1751955507.4767675,85.0,-0.55,4.64,7166.0,-6.876056951276513,84.72142492193342
1751955507.71772,85.0,-0.52,-18.22,6399.0,26.576652693713964,80.73835229677223
1751955507.941667,84.0,-0.26,-15.92,6294.0,23.04077269562431,80.77823217667353
1751955508.165227,83.0,0.26,-13.98,7490.0,20.051404252494205,80.5415494481144
1751955508.4051013,95.0,0.83,-7.96,7536.0,13.155764309103267,94.08467391367908
1751955508.6287534,93.0,0.71,-0.63,7312.0,1.0225678032592946,92.99437808323543
1751955508.8535721,90.0,0.58,1.66,7398.0,-2.6071571238406355,89.96222947288271
1751955509.077313,92.0,0.37,11.22,5980.0,-17.901061673908284,90.24163114077079
1751955509.3166738,89.0,0.08,27.5,5980.0,-41.09562657791802,78.94396415286174
1751955509.5415134,85.0,-0.01,33.46,5980.0,-46.86514854191623,70.91303019998601
1751955509.7814405,85.0,0.27,29.9,6295.0,-42.37145787907557,73.68622365952625
1751955510.0053513,88.0,0.43,37.75,7028.0,-53.875120643031536,69.58068248945823
1751955510.2296805,95.0,0.63,30.42,6051.0,-48.10180669854759,81.92201286794388
1751955510.453206,105.0,0.7,17.76,6723.0,-32.02820447491114,99.99597050938245
1751955510.6927183,113.0,0.65,12.26,6723.0,-23.995349755811617,110.42292873355728
1751955510.9173014,120.0,0.58,11.05,6723.0,-22.99986647184656,117.77523569187721
1751955511.141917,120.0,0.25,19.36,5755.0,-39.780306882374326,113.21451843444869
1751955511.381542,118.0,0.15,41.13,5865.0,-77.61682702301624,88.87985240131295
1751955511.604789,110.0,-0.32,29.9,6070.0,-54.83365137292133,95.35864238291632
1751955511.8296585,107.0,-0.7,20.74,7222.0,-37.891676816909445,100.06608230565882
1751955512.0689797,102.0,-0.87,12.43,6819.0,-21.955161575968614,99.60909034908968
1751955512.2926435,92.0,-1.16,13.23,7643.0,-21.05517552264519,89.55824687716147
1751955512.5163314,88.0,-1.16,-1.48,7456.0,2.272864042760834,87.97064333653087
1751955512.7583091,79.0,-1.17,9.39,7619.0,-12.889147863939524,77.94145153473538
1751955512.9806523,71.0,-0.96,-7.27,7329.0,8.984711790909046,70.42921946205496
1751955513.205304,66.0,-0.69,-3.49,7327.0,4.01770586050726,65.8775989211693
1751955513.428984,62.0,-0.34,0.17,6345.0,-0.18395743325011554,61.99972709345383
1751955513.6690898,61.0,-0.19,9.16,5825.0,-9.710711857631287,60.22210620044818
1751955513.8932402,67.0,0.21,10.88,6343.0,-12.646428435967476,65.7956521953689
1751955514.13306,74.0,0.75,14.95,7266.0,-19.090225284535524,71.49519773093631
1751955514.3577912,82.0,1.45,11.97,7375.0,-17.006759447308188,80.21701897416403
1751955514.5812764,89.0,1.59,8.88,7260.0,-13.738530730894132,87.93322906248967
1751955514.8208947,100.0,1.5,15.92,7436.0,-27.429491304314652,96.16456211508752
1751955515.0446377,104.0,1.06,9.85,7141.0,-17.791213945554667,102.46693469770382
1751955515.2692134,112.0,0.66,8.59,5879.0,-16.7286303098363,110.74363606075443
1751955515.4932249,110.0,0.07,-2.75,5922.0,5.277594137347833,109.87332251334458
1751955515.7329578,108.0,-0.11,-7.5,5922.0,14.09682875976557,107.07604502837152
1751955515.9562898,106.0,-0.09,-8.36,5922.0,15.411589168115924,104.87365216923273
1751955516.1809595,104.0,-0.01,-7.67,5922.0,13.880598106487366,103.06953476273277
1751955516.4209743,102.0,0.05,-6.7,5922.0,11.900415184131983,101.30340625292558
1751955520.3085961,105.0,-0.23,10.77,5368.0,-19.621031274771465,103.15044901363464
1751955520.532478,104.0,-0.25,12.43,5368.0,-22.385654940203292,101.56220976769929
1751955520.772285,101.0,-0.33,9.16,5136.0,-16.078391764274752,99.7120119056601
1751955520.996533,97.0,-0.38,4.69,5136.0,-7.931162450411138,96.6752122427729
